Year,GDP per capita (current US$),GDP_growth,GDP (current US$),GDP (current US$),GDP (current US$),GDP (current US$),GDP (current US$)
1965,263.7788717,1.068906877,2064788732,2064788733,2064788734,2064788735,2064788736
1966,266.5984222,-20.1588408,2138028169,2138028170,2138028171,2138028172,2138028173
1967,212.8552707,-6.986159211,1748837209,1748837210,1748837211,1748837212,1748837213
1968,197.9848626,14.8183844,1666666667,1666666668,1666666669,1666666670,1666666671
1969,227.3230206,9.937546642,1961764706,1961764707,1961764708,1961764709,1961764710
1970,249.9133518,6.622396395,2214705882,2214705883,2214705884,2214705885,2214705886
1971,266.4636046,-15.19197842,2427184466,2427184467,2427184468,2427184469,2427184470
1972,225.9825113,38.58255185,2116541353,2116541354,2116541355,2116541356,2116541357
1973,313.1723309,-6.82279368,3018103448,3018103449,3018103450,3018103451,3018103452
1974,291.8052289,-5.678561609,2894409938,2894409939,2894409940,2894409941,2894409942
1975,275.2348892,-4.397347566,2810106383,2810106384,2810106385,2810106386,2810106387
1976,263.1318545,11.96741453,2765254237,2765254238,2765254239,2765254240,2765254241
1977,294.6219343,11.35766024,3189428571,3189428572,3189428573,3189428574,3189428575
1978,328.0840926,6.408446302,3662478185,3662478186,3662478187,3662478188,3662478189
1979,349.1091855,7.313915176,4020227920,4020227921,4020227922,4020227923,4020227924
1980,374.6427352,-7.716208719,4445228216,4445228217,4445228218,4445228219,4445228220
1981,345.7345198,-7.241136411,4222441860,4222441861,4222441862,4222441863,4222441864
1982,320.6994116,-2.563111376,4035994398,4035994399,4035994400,4035994401,4035994402
1983,312.4795285,5.828999483,4057275132,4057275133,4057275134,4057275135,4057275136
1984,330.6939586,-0.224678613,4412279843,4412279844,4412279845,4412279846,4412279847
1985,329.95096,24.41897826,4504306723,4504306724,4504306725,4504306726,4504306727
1986,410.5216132,-13.61827806,5735677434,5735677435,5735677436,5735677437,5735677438
1987,354.6156384,-0.09689144,5074829932,5074829933,5074829934,5074829935,5074829936
1988,354.2720462,-1.515242695,5197765032,5197765033,5197765034,5197765035,5197765036
1989,348.9039649,9.269729626,5251858440,5251858441,5251858442,5251858443,5251858444
1990,381.2464191,9.319434418,5889106573,5889106574,5889106575,5889106576,5889106577
1991,416.7764291,-5.214736747,6603185268,6603185269,6603185270,6603185271,6603185272
1992,395.0426355,-9.217137754,6416103926,6416103927,6416103928,6416103929,6416103930
1993,358.6310116,-10.88125958,5968922939,5968922940,5968922941,5968922942,5968922943
1994,319.6074403,15.98230775,5446383727,5446383728,5446383729,5446383730,5446383731
1995,370.688085,4.814073077,6464382808,6464382809,6464382810,6464382811,6464382812
1996,388.5332803,-2.906534619,6932991739,6932991740,6932991741,6932991742,6932991743
1997,377.240426,5.979151105,6891443192,6891443193,6891443194,6891443195,6891443196
1998,399.7962011,0.669141451,7482069162,7482069163,7482069164,7482069165,7482069166
1999,402.4714032,-37.04390146,7718109982,7718109983,7718109984,7718109985,7718109986
2000,253.3802932,3.863697558,4982850662,4982850663,4982850664,4982850665,4982850666
2001,263.1701414,12.87259596,5314872854,5314872855,5314872856,5314872857,5314872858
2002,297.0469704,20.4684842,6166197848,6166197849,6166197850,6166197851,6166197852
2003,357.8479826,13.29528781,7632723556,7632723557,7632723558,7632723559,7632723560
2004,405.4249018,17.8026043,8881417907,8881417908,8881417909,8881417910,8881417911
2005,477.6010928,89.31479459,10744568381,10744568382,10744568383,10744568384,10744568385
2006,904.1695278,15.81892508,20885037597,20885037598,20885037599,20885037600,20885037601
2007,1047.199428,12.58179154,24827339138,24827339139,24827339140,24827339141,24827339142
2008,1178.955877,-11.4466445,28679383241,28679383242,28679383243,28679383244,28679383245
2009,1044.004989,20.58986406,26048720006,26048720007,26048720008,26048720009,26048720010
2010,1258.964197,19.2296949,32197655567,32197655568,32197655569,32197655570,32197655571
2011,1501.059171,2.369024798,39336668081,39336668082,39336668083,39336668084,39336668085
2012,1536.619635,48.53431838,41271701061,41271701062,41271701063,41271701064,41271701065
2013,2282.407501,-14.87401491,62824629066,62824629067,62824629068,62824629069,62824629070
2014,1942.921869,-11.92279297,54783320577,54783320578,54783320579,54783320580,54783320581
2015,1711.271317,11.0518043,49406009812,49406009813,49406009814,49406009815,49406009816
2016,1900.397674,5.173916667,56164928691,56164928692,56164928693,56164928694,56164928695
2017,1998.722666,9.071144341,60405920072,60405920073,60405920074,60405920075,60405920076
2018,2180.029684,-0.55523299,67298913752,67298913753,67298913754,67298913755,67298913756
2019,2167.92544,0.399034849,68337974418,68337974419,68337974420,68337974421,68337974422
2020,2176.576218,11.27962775,70043095504,70043095505,70043095506,70043095507,70043095508
2021,2422.085913,-100,79524421861,79524421862,79524421863,79524421864,79524421865
